TRXNBR,TRXDT,SUP_CODE,CUSTNAME,REFERENCE,Year,REF_TYPE,DESCRIPTION,EXTENDED_AMOUNT,DESC2,DESC3,CC,DPTNBR
121010013856692,11-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,P1D04-MARB040877-HO,2023,ARB,Rebate,"67,502.09",Unconditional Rebate,,21650,0450
121010013856691,11-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,P1D04-MANI017928-HO,2023,ANI,ส่วนลดพิเศษ,"13,500.42",Anniversary,,21650,0450
121010013848905,10-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,A1D04-MRST010853-HO,2023,RST,ส่วนลดพิเศษ,"15,000.00",Store Renovate,TTA Store Renovate,21650,0450
121010013848903,10-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,A1D04-MGCS054646-HO,2023,GCS,ส่วนลด,"9,248.00",Guarantee GP/Compensation,Compensate Moose Cider,21650,0450
121010013848902,10-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,A1D04-MGCS054645-HO,2023,GCS,ส่วนลด,"222,630.00",Guarantee GP/Compensation,Compensate Seonmul,21650,0450
121010013849495,10-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,A1D04-MWPS002735-HO,2023,WPS,Sale Promotion Income,"200,000.00",Vendor Web Potal Service,0450_Vendor Web Portal Service Dec 2023,21650,0450
121010013848904,10-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,A1D04-MNST017814-HO,2023,NST,ส่วนลดพิเศษ,"113,764.00",New Store Opening,TTA New Store Openning,21650,0450
121010013848105,4-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,P1D04-MANI017745-HO,2023,ANI,ส่วนลดพิเศษ,"6,796.31",Anniversary,,21650,0450
121010013848106,4-Jan-24,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,P1D04-MARB040469-HO,2023,ARB,Rebate,"33,981.57",Unconditional Rebate,,21650,0450
121010013837406,28-Dec-23,6003074,สยาม ไวเนอรี่คอมเมอร์เชี่ยล บจก.,P1D04-MARB039699-HO,2023,ARB,Rebate,"105,076.61",Unconditional Rebate,,21650,0450
